driver,lap,base_lap_time,compound,tyre_age,delta_if_held_up,is_pit_lap,pit_loss
ALB,1,91.479,medium,1,0.0,False,0.0
ALB,2,112.152,medium,2,0.0,False,0.0
ALB,3,108.346,medium,3,0.0,False,0.0
ALB,4,96.006,medium,4,0.0,False,0.0
ALB,5,80.465,medium,5,0.0,False,0.0
ALB,6,81.426,medium,6,0.0,False,0.0
ALB,7,81.287,medium,7,0.0,False,0.0
ALB,8,80.471,medium,8,0.0,False,0.0
ALB,9,84.151,medium,9,0.0,False,0.0
ALB,10,81.528,medium,10,0.0,False,0.0
ALB,11,79.447,medium,11,0.0,False,0.0
ALB,12,79.66,medium,12,0.0,False,0.0
ALB,13,79.244,medium,13,0.0,False,0.0
ALB,14,79.817,medium,14,0.0,False,0.0
ALB,15,80.143,medium,15,0.0,False,0.0
ALB,16,80.692,medium,16,0.0,False,0.0
ALB,17,80.978,medium,17,0.0,False,0.0
ALB,18,80.235,medium,18,0.0,False,0.0
ALB,19,79.279,medium,19,0.0,False,0.0
ALB,20,77.928,medium,20,0.0,False,0.0
ALB,21,77.096,medium,21,0.0,False,0.0
ALB,22,77.001,medium,22,0.0,False,0.0
ALB,23,76.556,medium,23,0.0,False,0.0
ALB,24,76.954,medium,24,0.0,False,0.0
ALB,25,77.653,medium,25,0.0,False,0.0
ALB,26,77.264,medium,26,0.0,False,0.0
ALB,27,77.185,medium,27,0.0,False,0.0
ALB,28,76.701,medium,28,0.0,False,0.0
ALB,29,76.969,medium,29,0.0,False,0.0
ALB,30,76.888,medium,30,0.0,False,0.0
ALB,31,76.87,medium,31,0.0,False,0.0
ALB,32,77.3265,medium,1,0.0,True,15.667500000000004
ALB,33,77.3265,medium,1,0.0,True,4.909500000000008
ALB,34,80.232,medium,1,0.0,False,0.0
ALB,35,76.381,medium,2,0.0,False,0.0
ALB,36,76.185,medium,3,0.0,False,0.0
ALB,37,76.153,medium,4,0.0,False,0.0
ALB,38,75.529,medium,5,0.0,False,0.0
ALB,39,75.303,medium,6,0.0,False,0.0
ALB,40,77.3265,medium,1,0.0,True,14.82950000000001
ALB,41,77.3265,hard,1,0.0,True,4.0715
ALB,42,78.819,hard,1,0.5242499999999964,False,0.0
ALB,43,78.638,hard,2,0.0,False,0.0
ALB,44,79.225,hard,3,0.0,False,0.0
ALB,45,79.224,hard,4,0.0,False,0.0
ALB,46,79.332,hard,5,0.0,False,0.0
ALB,47,79.173,hard,6,0.0,False,0.0
ALB,48,80.193,hard,7,0.0,False,0.0
ALB,49,78.234,hard,8,0.0,False,0.0
ALB,50,79.166,hard,9,0.0,False,0.0
ALB,51,79.828,hard,10,0.0,False,0.0
ALB,52,80.13,hard,11,0.0,False,0.0
ALB,53,79.403,hard,12,0.0,False,0.0
ALB,54,77.389,hard,13,0.0,False,0.0
ALB,55,77.086,hard,14,0.0,False,0.0
ALB,56,79.159,hard,15,0.0,False,0.0
ALB,57,76.136,hard,16,0.0,False,0.0
ALB,58,75.795,hard,17,0.0,False,0.0
ALB,59,75.509,hard,18,0.0,False,0.0
ALB,60,75.726,hard,19,1.427850000000001,False,0.0
ALB,61,76.046,hard,20,1.427850000000001,False,0.0
ALB,62,76.37,hard,21,0.0,False,0.0
ALB,63,75.082,hard,22,0.0,False,0.0
ALB,64,76.228,hard,23,0.0,False,0.0
ALB,65,75.156,hard,24,0.0,False,0.0
ALB,66,74.87,hard,25,0.0,False,0.0
ALB,67,74.928,hard,26,0.0,False,0.0
ALB,68,74.885,hard,27,0.0,False,0.0
ALB,69,76.79,hard,28,0.0,False,0.0
ALB,70,76.01,hard,29,0.0,False,0.0
ALB,71,75.751,hard,30,0.0,False,0.0
ALB,72,75.87,hard,31,0.0,False,0.0
ALB,73,75.15,hard,32,0.0,False,0.0
ALB,74,74.597,hard,33,0.0,False,0.0
ALB,75,74.6,hard,34,0.0,False,0.0
ALB,76,74.776,hard,35,0.0,False,0.0
ALO,1,88.332,hard,1,0.15,False,0.0
ALO,2,107.072,hard,2,0.15,False,0.0
ALO,3,109.211,hard,3,0.15,False,0.0
ALO,4,99.675,hard,4,0.15,False,0.0
ALO,5,80.94,hard,5,0.15,False,0.0
ALO,6,80.424,hard,6,0.0,False,0.0
ALO,7,80.222,hard,7,0.0,False,0.0
ALO,8,79.105,hard,8,0.0,False,0.0
ALO,9,82.183,hard,9,0.0,False,0.0
ALO,10,80.167,hard,10,0.0,False,0.0
ALO,11,77.469,hard,11,0.0,False,0.0
ALO,12,77.319,hard,12,0.0,False,0.0
ALO,13,76.411,hard,13,0.0,False,0.0
ALO,14,76.295,hard,14,0.0,False,0.0
ALO,15,75.593,hard,15,0.0,False,0.0
ALO,16,77.333,hard,1,0.0,True,16.835000000000008
ALO,17,77.333,hard,1,0.0,True,2.950000000000003
ALO,18,76.84,hard,1,0.0,False,0.0
ALO,19,77.226,hard,2,0.0,False,0.0
ALO,20,77.267,hard,3,0.0,False,0.0
ALO,21,77.921,hard,4,0.0,False,0.0
ALO,22,78.938,hard,5,0.0,False,0.0
ALO,23,77.947,hard,6,0.0,False,0.0
ALO,24,77.748,hard,7,0.0,False,0.0
ALO,25,77.685,hard,8,0.0,False,0.0
ALO,26,76.293,hard,9,0.0,False,0.0
ALO,27,76.744,hard,10,0.0,False,0.0
ALO,28,76.414,hard,11,0.0,False,0.0
ALO,29,76.279,hard,12,0.0,False,0.0
ALO,30,77.307,hard,13,0.0,False,0.0
ALO,31,76.142,hard,14,0.0,False,0.0
ALO,32,76.088,hard,15,0.0,False,0.0
ALO,33,75.823,hard,16,0.0,False,0.0
ALO,34,77.347,hard,17,0.0,False,0.0
ALO,35,76.024,hard,18,0.0,False,0.0
ALO,36,76.2,hard,19,0.0,False,0.0
ALO,37,,hard,20,0.0,False,0.0
ANT,1,94.721,hard,1,0.0,False,0.0
ANT,2,111.408,hard,2,0.0,False,0.0
ANT,3,108.871,hard,3,0.0,False,0.0
ANT,4,96.575,hard,4,0.0,False,0.0
ANT,5,80.377,hard,5,0.0,False,0.0
ANT,6,80.757,hard,6,0.0,False,0.0
ANT,7,81.194,hard,7,0.0,False,0.0
ANT,8,80.877,hard,8,0.0,False,0.0
ANT,9,83.326,hard,9,0.0,False,0.0
ANT,10,81.523,hard,10,0.0,False,0.0
ANT,11,79.894,hard,11,0.0,False,0.0
ANT,12,79.788,hard,12,0.0,False,0.0
ANT,13,78.868,hard,13,0.0,False,0.0
ANT,14,79.075,hard,14,0.0,False,0.0
ANT,15,79.858,hard,15,0.0,False,0.0
ANT,16,80.745,hard,16,0.0,False,0.0
ANT,17,81.182,hard,17,0.0,False,0.0
ANT,18,80.136,hard,18,0.0,False,0.0
ANT,19,79.624,hard,19,0.0,False,0.0
ANT,20,78.842,hard,20,0.0,False,0.0
ANT,21,77.914,hard,21,0.0,False,0.0
ANT,22,77.273,hard,22,0.0,False,0.0
ANT,23,76.973,hard,23,0.0,False,0.0
ANT,24,76.939,hard,24,0.0,False,0.0
ANT,25,78.777,hard,25,0.0,False,0.0
ANT,26,79.479,hard,26,0.0,False,0.0
ANT,27,79.446,hard,27,0.0,False,0.0
ANT,28,79.91,hard,28,0.0,False,0.0
ANT,29,79.074,hard,29,0.0,False,0.0
ANT,30,80.406,hard,30,0.0,False,0.0
ANT,31,79.809,hard,31,0.0,False,0.0
ANT,32,79.689,hard,32,0.0,False,0.0
ANT,33,79.344,hard,33,0.0,False,0.0
ANT,34,78.763,hard,34,0.0,False,0.0
ANT,35,79.458,hard,35,0.0,False,0.0
ANT,36,79.869,hard,36,0.0,False,0.0
ANT,37,78.87,hard,37,0.0,False,0.0
ANT,38,78.381,hard,38,0.0,False,0.0
ANT,39,78.721,hard,39,0.0,False,0.0
ANT,40,78.95,hard,40,0.0,False,0.0
ANT,41,78.06,hard,41,0.0,False,0.0
ANT,42,77.12,hard,42,0.0,False,0.0
ANT,43,78.31,hard,43,0.0,False,0.0
ANT,44,78.885,hard,44,0.0,False,0.0
ANT,45,79.251,hard,45,0.0,False,0.0
ANT,46,79.265,hard,46,0.0,False,0.0
ANT,47,80.131,hard,47,0.0,False,0.0
ANT,48,78.844,hard,48,0.0,False,0.0
ANT,49,78.328,hard,49,0.0,False,0.0
ANT,50,79.093,hard,50,0.0,False,0.0
ANT,51,80.341,hard,51,0.0,False,0.0
ANT,52,81.962,hard,52,0.0,False,0.0
ANT,53,79.263,hard,53,0.0,False,0.0
ANT,54,79.603,hard,54,0.0,False,0.0
ANT,55,78.966,hard,55,0.0,False,0.0
ANT,56,78.296,hard,56,0.0,False,0.0
ANT,57,78.511,hard,57,0.0,False,0.0
ANT,58,78.393,hard,58,0.0,False,0.0
ANT,59,79.056,hard,59,0.0,False,0.0
ANT,60,78.697,hard,60,0.0,False,0.0
ANT,61,78.59,hard,61,0.0,False,0.0
ANT,62,78.448,hard,62,0.0,False,0.0
ANT,63,78.884,hard,63,0.0,False,0.0
ANT,64,78.457,hard,64,0.0,False,0.0
ANT,65,77.696,hard,65,0.0,False,0.0
ANT,66,77.398,hard,66,0.0,False,0.0
ANT,67,75.551,hard,67,0.0,False,0.0
ANT,68,75.019,hard,68,0.0,False,0.0
ANT,69,79.074,hard,1,0.0,True,15.046999999999997
ANT,70,79.074,medium,1,0.0,True,0.42900000000000205
ANT,71,79.074,medium,1,0.0,True,12.438000000000002
ANT,72,79.074,hard,1,0.0,True,-0.06499999999999773
ANT,73,73.651,hard,1,0.0,False,0.0
ANT,74,73.518,hard,2,0.0,False,0.0
ANT,75,74.834,hard,3,0.0,False,0.0
BEA,1,78.395,medium,1,0.0,True,61.53699999999999
BEA,2,78.395,hard,1,0.0,True,32.259
BEA,3,110.334,hard,1,0.0,False,0.0
BEA,4,82.127,hard,2,0.0,False,0.0
BEA,5,75.576,hard,3,0.0,False,0.0
BEA,6,74.855,hard,4,0.0,False,0.0
BEA,7,75.058,hard,5,0.0,False,0.0
BEA,8,78.303,hard,6,0.0,False,0.0
BEA,9,76.467,hard,7,0.0,False,0.0
BEA,10,79.555,hard,8,0.45855000000000246,False,0.0
BEA,11,80.017,hard,9,0.45855000000000246,False,0.0
BEA,12,79.401,hard,10,0.45855000000000246,False,0.0
BEA,13,79.68,hard,11,0.45855000000000246,False,0.0
BEA,14,78.386,hard,12,0.45855000000000246,False,0.0
BEA,15,79.194,hard,13,0.45855000000000246,False,0.0
BEA,16,80.638,hard,14,0.45855000000000246,False,0.0
BEA,17,78.395,hard,1,0.0,True,19.471000000000004
BEA,18,78.395,medium,1,0.3357000000000042,True,0.03100000000000591
BEA,19,76.285,medium,1,0.3357000000000042,False,0.0
BEA,20,76.53,medium,2,0.3357000000000042,False,0.0
BEA,21,77.189,medium,3,0.3357000000000042,False,0.0
BEA,22,76.562,medium,4,0.3357000000000042,False,0.0
BEA,23,76.542,medium,5,0.3357000000000042,False,0.0
BEA,24,77.056,medium,6,0.3357000000000042,False,0.0
BEA,25,78.369,medium,7,0.0,False,0.0
BEA,26,78.034,medium,8,0.3357000000000042,False,0.0
BEA,27,77.0,medium,9,0.3357000000000042,False,0.0
BEA,28,77.126,medium,10,0.3357000000000042,False,0.0
BEA,29,81.565,medium,11,0.0,False,0.0
BEA,30,78.778,medium,12,0.3357000000000042,False,0.0
BEA,31,79.927,medium,13,0.3357000000000042,False,0.0
BEA,32,80.227,medium,14,0.3357000000000042,False,0.0
BEA,33,78.784,medium,15,0.0,False,0.0
BEA,34,79.725,medium,16,0.3357000000000042,False,0.0
BEA,35,78.006,medium,17,0.3357000000000042,False,0.0
BEA,36,79.059,medium,18,0.3357000000000042,False,0.0
BEA,37,78.885,medium,19,0.3357000000000042,False,0.0
BEA,38,78.333,medium,20,0.3357000000000042,False,0.0
BEA,39,78.791,medium,21,0.3357000000000042,False,0.0
BEA,40,78.768,medium,22,0.3357000000000042,False,0.0
BEA,41,78.741,medium,23,0.3357000000000042,False,0.0
BEA,42,77.424,medium,24,0.3357000000000042,False,0.0
BEA,43,77.648,medium,25,0.3357000000000042,False,0.0
BEA,44,78.511,medium,26,0.3357000000000042,False,0.0
BEA,45,79.057,medium,27,0.3357000000000042,False,0.0
BEA,46,79.294,medium,28,0.3357000000000042,False,0.0
BEA,47,80.078,medium,29,0.3357000000000042,False,0.0
BEA,48,78.965,medium,30,0.3357000000000042,False,0.0
BEA,49,77.921,medium,31,0.3357000000000042,False,0.0
BEA,50,79.103,medium,32,0.3357000000000042,False,0.0
BEA,51,82.205,medium,33,0.0,False,0.0
BEA,52,79.988,medium,34,0.3357000000000042,False,0.0
BEA,53,80.306,medium,35,0.0,False,0.0
BEA,54,78.82,medium,36,0.3357000000000042,False,0.0
BEA,55,78.659,medium,37,0.3357000000000042,False,0.0
BEA,56,78.306,medium,38,0.3357000000000042,False,0.0
BEA,57,78.584,medium,39,0.3357000000000042,False,0.0
BEA,58,78.038,medium,40,0.3357000000000042,False,0.0
BEA,59,79.233,medium,41,0.3357000000000042,False,0.0
BEA,60,78.669,medium,42,0.3357000000000042,False,0.0
BEA,61,78.715,medium,43,0.3357000000000042,False,0.0
BEA,62,78.364,medium,44,0.3357000000000042,False,0.0
BEA,63,78.836,medium,45,0.3357000000000042,False,0.0
BEA,64,78.404,medium,46,0.45855000000000246,False,0.0
BEA,65,77.177,medium,47,0.45855000000000246,False,0.0
BEA,66,77.748,medium,48,0.45855000000000246,False,0.0
BEA,67,76.362,medium,49,0.45855000000000246,False,0.0
BEA,68,77.602,medium,50,0.0,False,0.0
BEA,69,76.187,medium,51,0.45855000000000246,False,0.0
BEA,70,76.663,medium,52,0.45855000000000246,False,0.0
BEA,71,75.748,medium,53,0.45855000000000246,False,0.0
BEA,72,75.427,medium,54,0.0,False,0.0
BEA,73,75.355,medium,55,0.0,False,0.0
BEA,74,75.365,medium,56,0.0,False,0.0
BEA,75,75.799,medium,57,0.0,False,0.0
BEA,76,77.224,medium,58,0.0,False,0.0
BOR,1,78.24000000000001,medium,1,0.0,True,67.32399999999998
BOR,2,78.24000000000001,hard,1,0.0,True,31.505999999999986
BOR,3,109.362,hard,1,0.0,False,0.0
BOR,4,83.609,hard,2,0.0,False,0.0
BOR,5,76.394,hard,3,0.0,False,0.0
BOR,6,75.757,hard,4,0.0,False,0.0
BOR,7,75.721,hard,5,0.0,False,0.0
BOR,8,78.331,hard,6,0.0,False,0.0
BOR,9,78.411,hard,7,0.0,False,0.0
BOR,10,76.782,hard,8,0.0,False,0.0
BOR,11,76.256,hard,9,0.0,False,0.0
BOR,12,77.804,hard,10,0.0,False,0.0
BOR,13,79.088,hard,11,0.15,False,0.0
BOR,14,78.481,hard,12,0.15,False,0.0
BOR,15,78.647,hard,13,0.15,False,0.0
BOR,16,80.378,hard,14,0.15,False,0.0
BOR,17,80.937,hard,15,0.5980499999999908,False,0.0
BOR,18,79.222,hard,16,0.5980499999999908,False,0.0
BOR,19,79.729,hard,17,0.5980499999999908,False,0.0
BOR,20,79.335,hard,18,0.5980499999999908,False,0.0
BOR,21,77.718,hard,19,0.5980499999999908,False,0.0
BOR,22,77.664,hard,20,0.5980499999999908,False,0.0
BOR,23,77.216,hard,21,0.0,False,0.0
BOR,24,77.286,hard,22,0.0,False,0.0
BOR,25,77.965,hard,23,0.0,False,0.0
BOR,26,78.24000000000001,hard,1,0.0,True,17.934999999999988
BOR,27,78.24000000000001,soft,1,0.0,True,1.968999999999994
BOR,28,76.02,soft,1,0.0,False,0.0
BOR,29,75.193,soft,2,0.0,False,0.0
BOR,30,75.543,soft,3,0.0,False,0.0
BOR,31,78.214,soft,4,0.0,False,0.0
BOR,32,79.347,soft,5,0.15,False,0.0
BOR,33,79.276,soft,6,0.15,False,0.0
BOR,34,79.276,soft,7,0.15,False,0.0
BOR,35,78.24000000000001,soft,1,0.0,True,17.00699999999999
BOR,36,78.24000000000001,medium,1,0.0,True,0.3669999999999902
BOR,37,74.884,medium,1,0.0,False,0.0
BOR,38,74.97,medium,2,0.0,False,0.0
BOR,39,75.888,medium,3,0.0,False,0.0
BOR,40,76.335,medium,4,0.0,False,0.0
BOR,41,76.847,medium,5,0.0,False,0.0
BOR,42,77.678,medium,6,0.0,False,0.0
BOR,43,77.037,medium,7,0.0,False,0.0
BOR,44,78.35,medium,8,0.2033999999999992,False,0.0
BOR,45,78.458,medium,9,0.2033999999999992,False,0.0
BOR,46,79.853,medium,10,0.2033999999999992,False,0.0
BOR,47,80.127,medium,11,0.2033999999999992,False,0.0
BOR,48,78.016,medium,12,0.2033999999999992,False,0.0
BOR,49,78.411,medium,13,0.2033999999999992,False,0.0
BOR,50,79.679,medium,14,0.2033999999999992,False,0.0
BOR,51,80.698,medium,15,0.2033999999999992,False,0.0
BOR,52,80.809,medium,16,0.2033999999999992,False,0.0
BOR,53,79.965,medium,17,0.2033999999999992,False,0.0
BOR,54,78.704,medium,18,0.2033999999999992,False,0.0
BOR,55,78.823,medium,19,0.2033999999999992,False,0.0
BOR,56,78.451,medium,20,0.2033999999999992,False,0.0
BOR,57,78.438,medium,21,0.2033999999999992,False,0.0
BOR,58,78.118,medium,22,0.2033999999999992,False,0.0
BOR,59,78.997,medium,23,0.2033999999999992,False,0.0
BOR,60,78.808,medium,24,0.2033999999999992,False,0.0
BOR,61,78.797,medium,25,0.2033999999999992,False,0.0
